product_id,skin_tone,hydration_mean,hydration_count,breakouts_irritation_mean,breakouts_irritation_count,scent_mean,scent_count,packaging_mean,packaging_count,price_value_mean,price_value_count,texture_application_mean,texture_application_count,hydration_overall,breakouts_irritation_overall,scent_overall,packaging_overall,price_value_overall,texture_application_overall,hydration_delta,breakouts_irritation_delta,scent_delta,packaging_delta,price_value_delta,texture_application_delta,product_name,low_confidence,flagged,breakouts_flagged
P379707,medium,0.5697329849936068,8,0.808546494298543,13,0.6707871169610707,9,0.6337241283617914,4,0.2927838790928945,8,0.8860158376395703,10,0.7216559568808687,0.823147514929493,0.7616132023208476,0.6948284204842315,0.5290065933867292,0.769727659393955,-0.1519229718872619,-0.014601020630950035,-0.09082608535977688,-0.061104292122440174,-0.23622271429383468,0.11628817824561521,Resurfacing BHA Glow Mask,True,True,False
P379707,mediumTan,0.3835804829529176,10,0.776059604353375,9,0.5728356920182704,5,,0,0.29905468185565304,7,0.6735730325718495,11,0.7216559568808687,0.823147514929493,0.7616132023208476,0.6948284204842315,0.5290065933867292,0.769727659393955,-0.3380754739279511,-0.04708791057611805,-0.18877751030257717,,-0.22995191153107614,-0.09615462682210552,Resurfacing BHA Glow Mask,True,True,False
P379707,rich,0.11087964475154877,1,0.9896961450576782,1,,0,,0,0.9866053760051727,2,,0,0.7216559568808687,0.823147514929493,0.7616132023208476,0.6948284204842315,0.5290065933867292,0.769727659393955,-0.6107763121293199,0.16654863012818522,,,0.45759878261844356,,Resurfacing BHA Glow Mask,True,True,True
P379707,tan,0.6287505026906729,5,0.9115734675100872,7,0.5067278705537319,2,,0,0.4342632065527141,6,0.6782476667846952,7,0.7216559568808687,0.823147514929493,0.7616132023208476,0.6948284204842315,0.5290065933867292,0.769727659393955,-0.0929054541901958,0.08842595258059416,-0.2548853317671157,,-0.09474338683401506,-0.09147999260925987,Resurfacing BHA Glow Mask,True,True,False
P379709,deep,0.6487864851951599,3,0.8999415636062622,1,0.16081423568539321,2,0.5279327929019928,2,0.5078072414034978,2,0.21880205202614889,2,0.5657016784404428,0.7293388477216164,0.32178050348187376,0.6687989876954816,0.3469773356552684,0.5462852284766823,0.08308480675471708,0.17060271588464582,-0.16096626779648054,-0.14086619479348883,0.16082990574822936,-0.3274831764505334,Repairative Anti-Aging Moisturizer,True,True,True
P379709,fair,0.5402683639207252,17,0.4439318380318582,4,0.3656923169585164,17,0.7645051265135407,4,0.2456322249257937,5,0.5843705133069307,5,0.5657016784404428,0.7293388477216164,0.32178050348187376,0.6687989876954816,0.3469773356552684,0.5462852284766823,-0.025433314519717642,-0.2854070096897582,0.043911813476642636,0.09570613881805912,-0.10134511072947469,0.03808528483024842,Repairative Anti-Aging Moisturizer,True,True,True
P379709,fairLight,0.4938307259387026,4,,0,0.18866659825046858,3,,0,0.9825031757354736,1,,0,0.5657016784404428,0.7293388477216164,0.32178050348187376,0.6687989876954816,0.3469773356552684,0.5462852284766823,-0.07187095250174025,,-0.13311390523140518,,0.6355258400802053,,Repairative Anti-Aging Moisturizer,True,True,False
P379709,light,0.5586504711148639,17,0.734360690228641,4,0.34265703790510693,15,0.7298222929239273,4,0.2674052707850933,10,0.5101173048838973,5,0.5657016784404428,0.7293388477216164,0.32178050348187376,0.6687989876954816,0.3469773356552684,0.5462852284766823,-0.0070512073255789565,0.005021842507024643,0.020876534423233173,0.06102330522844568,-0.0795720648701751,-0.03616792359278498,Repairative Anti-Aging Moisturizer,True,False,False
P379709,lightMedium,0.6789970991201699,15,0.8738694451749325,4,0.2930831557993467,12,0.7048495067283511,5,0.4274931523638467,6,0.6904635574402553,7,0.5657016784404428,0.7293388477216164,0.32178050348187376,0.6687989876954816,0.3469773356552684,0.5462852284766823,0.11329542067972709,0.1445305974533161,-0.028697347682527075,0.03605051903286949,0.08051581670857832,0.14417832896357308,Repairative Anti-Aging Moisturizer,True,False,False
P379709,medium,0.6842021255288273,4,0.9157466292381287,2,0.5293643094547507,3,0.40607999681378715,2,0.7033137083053589,1,,0,0.5657016784404428,0.7293388477216164,0.32178050348187376,0.6687989876954816,0.3469773356552684,0.5462852284766823,0.11850044708838448,0.18640778151651227,0.2075838059728769,-0.2627189908816945,0.3563363726500905,,Repairative Anti-Aging Moisturizer,True,True,True
