brand_name,hydration_mean,hydration_count,breakouts_irritation_mean,breakouts_irritation_count,scent_mean,scent_count,packaging_mean,packaging_count,price_value_mean,price_value_count,texture_application_mean,texture_application_count,sentiment_label_mean,sentiment_label_count,rating_mean,rating_count
The Outset,0.8609111561863803,65,0.7592199352155957,27,0.8220134835260419,26,0.6675104694440961,16,0.2126936255954206,8,0.8074016008370867,27,1.9107142857142858,112,4.660714285714286,112
WASO,0.867159273519194,561,0.8036273463697096,240,0.7788383151947372,338,0.7850818765494472,119,0.6423073635798775,54,0.7632020987981409,296,1.870182555780933,1479,4.529411764705882,1479
Wander Beauty,0.758742315215531,184,0.6839019711662094,46,0.6253715785220265,10,0.7472584139770613,13,0.521788138651142,76,0.6567320764145773,23,1.6003584229390682,558,4.084229390681004,558
Wishful,0.8539239959782063,42,0.8922626716750008,7,0.6328934671667715,18,0.5240131132304668,2,0.5999150740681216,8,0.5558160691171129,23,1.8333333333333333,66,4.424242424242424,66
Youth To The People,0.7373097482508113,8244,0.6775218963193119,5066,0.7523281456729842,5131,0.6073238973663002,3139,0.536358446113137,2259,0.6637937867598891,1998,1.654859327399797,16741,4.247177587957709,16741
alpyn beauty,0.8501019732535037,464,0.7800927057583158,228,0.7894251732802676,318,0.584050732713121,104,0.5678385270819288,72,0.8390664214843703,249,1.8694690265486726,904,4.655973451327434,904
belif,0.7852145849156902,2444,0.7322706103687981,398,0.7180415301173126,1030,0.5272988014698482,197,0.5067474156323656,255,0.7288793326470696,1161,1.8143762049022307,3631,4.414486367391903,3631
fresh,0.8058732202613181,7419,0.7634575311600742,5035,0.6909252192798748,6803,0.6702479895649481,1129,0.5513907547835294,2615,0.7518069223694187,2289,1.75754316783175,16737,4.377367509111549,16737
goop,0.6949999260576898,170,0.6648815370807447,132,0.5930755091811378,315,0.7647897778673375,47,0.39199572892504786,49,0.6512405590745747,74,1.701098901098901,455,4.026373626373626,455
iNNBEAUTY PROJECT,0.8306885729489537,150,0.7142835278263745,68,0.6449238098818265,48,0.6429327904784475,42,0.697142589054155,22,0.7782061304531845,51,1.8041237113402062,291,4.505154639175258,291
innisfree,0.7899858119888487,437,0.7729806611444873,351,0.7595295998359385,192,0.6651519281371935,68,0.785977876903589,218,0.8423756362259704,212,1.8583724569640063,1278,4.589201877934272,1278
tarte,0.7665092128027299,722,0.7524431426654533,614,0.698553843928868,401,0.6913172309406507,279,0.5973121727665626,190,0.6485947824929728,107,1.7437252311756934,2271,4.382650814619111,2271
