product_id,skin_type,hydration_mean,hydration_count,breakouts_irritation_mean,breakouts_irritation_count,scent_mean,scent_count,packaging_mean,packaging_count,price_value_mean,price_value_count,texture_application_mean,texture_application_count,hydration_overall,breakouts_irritation_overall,scent_overall,packaging_overall,price_value_overall,texture_application_overall,hydration_delta,breakouts_irritation_delta,scent_delta,packaging_delta,price_value_delta,texture_application_delta,product_name,low_confidence,flagged,breakouts_flagged
P412025,normal,0.7802986402180977,10,,0,0.9550712704658508,2,0.6146857505664229,3,0.4919948782771826,8,0.9923315048217773,1,0.5812641672395034,0.8879504641729661,0.7902463333060344,0.39838942926790977,0.5841936654652711,0.36914653128769714,0.19903447297859433,,0.1648249371598164,0.21629632129851317,-0.0921987871880885,0.6231849735340802,Cucumber De-Tox Hydra-Gel Eye Patches,True,True,False
P412025,oily,0.6627105759936526,11,0.9838606119155884,1,0.046584222465753555,1,,0,0.5447896546684206,8,,0,0.5812641672395034,0.8879504641729661,0.7902463333060344,0.39838942926790977,0.5841936654652711,0.36914653128769714,0.08144640875414921,0.0959101477426223,-0.7436621108402809,,-0.03940401079685052,,Cucumber De-Tox Hydra-Gel Eye Patches,True,True,False
P414293,combination,0.6152148243811367,144,0.5976574609772717,75,0.5104006994526241,55,0.38174480386666315,33,0.5839058295219999,27,0.44722214980083186,89,0.6409502504674827,0.5850604283758819,0.514080775498211,0.4881794868191303,0.5386477839143481,0.46878488921946976,-0.025735426086345936,0.01259703260138978,-0.003680076045586844,-0.10643468295246716,0.04525804560765179,-0.0215627394186379,Honey Savior All-in-One Skin Repair Salve,False,False,False
P414293,dry,0.6177907219969913,96,0.5354768644022657,41,0.5795015282179604,29,0.7219829815626144,20,0.6149092430959603,19,0.4559643171999293,45,0.6409502504674827,0.5850604283758819,0.514080775498211,0.4881794868191303,0.5386477839143481,0.46878488921946976,-0.02315952847049141,-0.049583563973616185,0.06542075271974945,0.2338034947434841,0.0762614591816122,-0.012820572019540455,Honey Savior All-in-One Skin Repair Salve,True,True,False
P414293,normal,0.7191625771567572,43,0.6760146684375488,18,0.4158004449370007,15,0.38443487661425024,14,0.3110130162773809,12,0.5777939639493442,22,0.6409502504674827,0.5850604283758819,0.514080775498211,0.4881794868191303,0.5386477839143481,0.46878488921946976,0.07821232668927458,0.09095424006166686,-0.09828033056121027,-0.10374461020488007,-0.22763476763696716,0.10900907472987448,Honey Savior All-in-One Skin Repair Salve,True,True,False
P414293,oily,0.7325961805375603,28,0.5428275327377308,13,0.48650668950479786,8,0.5202571740891371,9,0.5689889118075371,2,0.4810111273545772,8,0.6409502504674827,0.5850604283758819,0.514080775498211,0.4881794868191303,0.5386477839143481,0.46878488921946976,0.0916459300700776,-0.042232895638151136,-0.0275740859934131,0.03207768727000676,0.03034112789318899,0.012226238135107426,Honey Savior All-in-One Skin Repair Salve,True,False,False
P415620,combination,0.712283112592506,92,0.6472984119329467,123,0.6877795019652695,20,0.7262209312512392,19,0.7168238453217782,20,0.6316104477020696,26,0.7134358419559694,0.6645312707354072,0.6504376614790247,0.7168247424620752,0.6523761858517492,0.6576126336189423,-0.001152729363463445,-0.017232858802460504,0.03734184048624478,0.00939618878916404,0.06444765947002906,-0.026002185916872644,Evercalm Ultra Comforting Rescue Mask,True,False,False
P415620,dry,0.7362669592769585,67,0.685492911232844,80,0.533049460927335,12,0.7985792901366949,10,0.6504075740678952,13,0.6650372800184414,10,0.7134358419559694,0.6645312707354072,0.6504376614790247,0.7168247424620752,0.6523761858517492,0.6576126336189423,0.02283111732098908,0.020961640497436762,-0.11738820055168975,0.08175454767461976,-0.0019686117838539907,0.007424646399499135,Evercalm Ultra Comforting Rescue Mask,True,False,False
P415620,normal,0.7430004142110656,17,0.7337767619633886,27,0.7975742308689016,7,0.5116822868585587,2,0.6838614424424512,7,0.7088614031672478,4,0.7134358419559694,0.6645312707354072,0.6504376614790247,0.7168247424620752,0.6523761858517492,0.6576126336189423,0.029564572255096122,0.0692454912279814,0.14713656938987685,-0.20514245560351652,0.031485256590702004,0.051248769548305484,Evercalm Ultra Comforting Rescue Mask,True,True,False
P415620,oily,0.5850204094623526,15,0.6153272062441034,29,0.5978470345027745,7,0.5215620249509811,3,0.15779017506995136,3,0.7143005324261529,7,0.7134358419559694,0.6645312707354072,0.6504376614790247,0.7168247424620752,0.6523761858517492,0.6576126336189423,-0.12841543249361687,-0.04920406449130377,-0.052590626976250165,-0.19526271751109403,-0.4945860107817978,0.05668789880721059,Evercalm Ultra Comforting Rescue Mask,True,True,False
P415667,combination,0.6769551452829963,83,0.6955148549202187,210,0.4977217330695047,56,0.4963348039193079,30,0.6730684990020193,45,0.7163082052798321,15,0.7041536480737306,0.6698022866334256,0.461844822551593,0.5721805653191128,0.6663278378297642,0.7750410050683623,-0.027198502790734325,0.025712568286793136,0.0358769105179117,-0.07584576139980487,0.006740661172255025,-0.05873279978853019,EradiKate Daily Cleanser Acne Treatment,False,False,False
P415667,dry,0.7632178609346738,16,0.6494361297956508,33,0.358781491954384,8,0.9314176887273788,4,0.6725770310149528,4,0.9860655218362808,4,0.7041536480737306,0.6698022866334256,0.461844822551593,0.5721805653191128,0.6663278378297642,0.7750410050683623,0.05906421286094321,-0.020366156837774763,-0.10306333059720896,0.3592371234082661,0.006249193185188573,0.21102451676791856,EradiKate Daily Cleanser Acne Treatment,True,True,False
P415667,normal,0.6279369492743475,12,0.6027206146984598,34,0.3541406280564843,8,0.5368947200477123,2,0.7012852907180787,5,0.5773507826030254,5,0.7041536480737306,0.6698022866334256,0.461844822551593,0.5721805653191128,0.6663278378297642,0.7750410050683623,-0.07621669879938309,-0.06708167193496573,-0.10770419449510871,-0.03528584527140044,0.03495745288831442,-0.19769022246533685,EradiKate Daily Cleanser Acne Treatment,True,True,False
P415667,oily,0.7898093677448252,26,0.6353406060870711,71,0.440313703333959,15,0.7236799051364263,6,0.6160164588363841,10,0.9801100134849549,5,0.7041536480737306,0.6698022866334256,0.461844822551593,0.5721805653191128,0.6663278378297642,0.7750410050683623,0.08565571967109464,-0.034461680546354456,-0.02153111921763401,0.15149933981731356,-0.05031137899338012,0.2050690084165926,EradiKate Daily Cleanser Acne Treatment,True,True,False
P415777,combination,0.6138078890901393,205,0.5958763239701202,504,0.42115115763486494,28,0.4776758037788332,180,0.6227245349540903,366,0.6957620345468782,173,0.6416760920240708,0.5849046682896011,0.45396290144169515,0.48598444579795547,0.6216453803376422,0.7041683618517087,-0.027868202933931552,0.010971655680519166,-0.03281174380683022,-0.008308642019122292,0.0010791546164481414,-0.008406327304830485,T.L.C. Sukari Babyfacial AHA + BHA Mask,True,False,False
P415777,dry,0.6294890689145703,107,0.5770725244657559,172,0.5224940213229274,4,0.4063659782133376,60,0.5756760665322025,121,0.7097489433868278,53,0.6416760920240708,0.5849046682896011,0.45396290144169515,0.48598444579795547,0.6216453803376422,0.7041683618517087,-0.012187023109500483,-0.007832143823845228,0.06853111988123228,-0.07961846758461788,-0.04596931380543967,0.005580581535119089,T.L.C. Sukari Babyfacial AHA + BHA Mask,False,False,False
